"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
12029	7657	729	86576613.2655545
11891	7761	764	98532845.8928317
12003	7918	901	89194536.6704193
11840	7700	774	95353384.7096055
11622	7595	881	85405242.5033201
11889	7684	885	88618969.6832396
11906	7631	730	98374558.0956667
12174	7931	884	93839942.7087618
11553	7501	819	89591409.2181779
11554	7547	826	90069949.8041184
11606	7533	855	86728419.0912031
12130	7886	876	87206713.1293549
11838	7659	870	90159349.0317843
12156	7842	861	87143052.1865698
11356	7446	845	91696815.5334031
11314	7515	878	91279765.3426103
11882	7787	870	85562349.0240833
11645	7619	800	94156873.8557227
12029	7759	757	91628690.0818889
11456	7529	873	86564067.938517
11758	7624	834	86807548.8682196
11711	7476	835	81315264.0249093
12063	7783	818	95797206.9183215
11878	7691	866	114222476.236277
11512	7332	820	95160812.2565838
11646	7584	875	89881566.8805275
11987	7698	833	92220638.0438975
11494	7444	846	95236114.1855503
11692	7740	850	91768070.5320354
11942	7689	808	93509265.4808104
11626	7477	842	87361946.1727696
11735	7671	832	90625277.8346693
11476	7464	729	90438391.9509797
11748	7640	858	90935063.9512542
12111	7857	920	90800965.2558255
12412	8088	852	88469454.3293028
11996	7838	859	92150561.6686947
12282	7938	971	90323655.3701695
11790	7720	785	99206229.6172532
11868	7754	892	100040454.4141
11834	7654	750	89868162.7796891
11720	7656	908	91829236.5786101
11913	7712	834	92847579.2624763
11870	7791	859	87532867.5096658
12136	7880	867	89314987.7954791
11975	7590	811	89384746.5827839
11462	7521	860	92295972.9370438
11730	7609	851	85533180.803414
11399	7294	794	86114526.1967813
12039	7875	871	85273487.0960022
11737	7532	777	95681760.9932042
12114	7946	894	94942119.8108296
11967	7706	866	89250897.7797424
11765	7549	918	89005624.7689712
11600	7581	841	86537129.6548715
12149	7785	840	90710593.3960236
11499	7482	793	91118902.3103931
11631	7579	805	88471817.6197807
12058	7876	867	90486338.1909647
11838	7689	803	88784008.9315494
11982	7771	819	91970867.8058902
12053	7877	837	87774231.1899743
11303	7406	810	92596067.0628647
11622	7564	792	89982581.431155
12277	7910	872	92043325.5905048
12023	7770	841	98237486.1668032
11599	7609	843	94756443.5148849
11570	7401	855	88088962.4761545
11685	7543	915	94970344.3840186
11613	7583	818	87271999.0209561
12015	7649	804	96656091.1202998
12064	7831	914	89631860.065041
11842	7594	802	95836663.7633632
12085	7896	792	95792174.3771314
11572	7456	781	85736635.827261
12150	7863	837	90415735.0667318
12128	7882	859	84475250.260243
12002	7711	848	93334623.7635865
11877	7788	868	86811279.588611
11891	7740	893	98404201.4046045
11788	7683	870	89802981.0233845
11778	7565	809	85958639.6471992
11800	7620	906	88954960.8302965
11939	7715	759	93665794.9789869
11668	7603	795	93897612.0552305
11904	7730	830	92644428.9173754
11941	7726	977	93272098.4688526
12110	7832	755	84927164.9981318
11927	7664	857	88535213.0610072
11969	7839	876	89982939.3558078
12044	7768	912	88177184.3667549
12757	8153	957	92739683.7503427
11917	7675	860	94686517.0682671
12196	7843	907	87028986.8526486
11644	7405	754	92203380.102033
11876	7711	745	89178774.0122031
11870	7661	975	89552406.1606263
11945	7746	866	91066825.556555
11973	7893	814	83181752.0007061
11638	7519	838	88355686.8589141
11751	7713	866	86976764.9135887
11369	7326	817	97220052.8387581
11909	7835	811	89098699.7305382
12081	7788	785	91956942.8344353
12339	8096	937	97152152.0638191
12347	7993	905	91582422.9564686
11901	7605	827	98466517.0879112
11963	7623	906	90362307.8252292
11984	7773	865	92331623.3868874
11336	7357	826	92513294.7142417
11954	7619	856	89326586.479307
11966	7725	930	91973503.7184501
12237	8002	878	91448234.0966821
11521	7700	850	98400504.688487
12017	7923	861	90580657.9268574
11910	7864	830	89238291.5489082
12318	7939	884	89925506.1723087
11749	7624	820	93276751.8878407
11887	7690	862	84439064.1232726
11924	7685	822	89135532.8400794
11790	7666	818	93016576.775773
12061	7797	897	88137269.6587783
12282	7983	875	92551611.0230015
11463	7440	817	85604623.5043806
11915	7694	881	88570322.0006604
11517	7606	857	91033650.1917655
11763	7532	893	89061511.3002939
11871	7739	838	92404934.9437326
11913	7759	874	93415696.247067
12401	7945	873	93046009.3538677
11371	7422	740	90310984.2175419
12286	7983	938	83757163.7534459
11562	7550	855	93415140.546416
11717	7592	884	93336867.9692338
11617	7600	796	89124991.8058132
11503	7486	838	83501320.5161531
11587	7515	777	82869422.1950981
11693	7657	867	84164196.2867433
11716	7606	743	87787904.8301262
11442	7445	818	89370456.0000332
11861	7681	844	91277378.8579567
12010	7731	812	91870606.7114941
11774	7663	802	87341718.7365394
11502	7541	806	89284635.6152563
12008	7772	845	91540395.215775
11800	7555	809	89757045.3191224
12216	7868	819	89075115.4220904
11900	7844	817	84057595.4325635
12188	7904	827	94110675.0642699
12074	7858	836	86963619.6004514
11837	7771	829	86994012.7382497
11629	7537	781	80297614.6055768
12067	7789	865	88565139.9101718
11839	7729	856	90119742.6376038
11913	7650	870	90402597.6982569
11580	7507	715	83186880.9860395
11693	7473	875	91145315.4224421
11616	7540	878	90686363.4565676
11670	7563	838	92507101.9762889
11725	7538	759	93988907.3662729
11850	7645	883	92184369.3174874
11621	7571	880	91320586.195295
11881	7758	859	91291501.8411524
12079	7811	850	89743888.3873056
11727	7668	826	93488855.2771701
11783	7626	814	89205191.9320172
11888	7835	907	92208522.931184
11638	7538	853	92470101.4526676
11856	7671	853	93185127.4276219
11899	7693	792	86595069.7095054
11833	7678	887	89773267.8276924
11368	7428	892	96668218.1459726
11593	7608	800	90736987.307701
10805	7050	790	89719627.1858397
11948	7750	875	88610807.700785
11643	7477	809	88495545.0753625
11666	7570	785	84947444.1891379
12266	7957	817	89468042.220825
12033	7875	813	87537654.980589
12128	7767	854	87309918.9343764
11741	7638	843	85075148.6810222
11835	7715	843	90440353.4554328
12097	7748	872	90645884.643349
11385	7323	794	84858765.1616371
12172	7810	871	89009653.6404089
11813	7614	808	83565197.1767164
11993	7658	880	89730177.3056143
11609	7568	814	87428508.6320614
11638	7584	883	88978301.9632967
11924	7739	897	96953670.4986352
11827	7689	833	83919312.1120037
11957	7730	889	86939411.8802446
11733	7698	869	101163164.320748
11728	7614	824	98280059.4262655
11876	7802	867	85542488.0173341
12102	7829	800	85459620.9769922
11719	7622	840	87998062.173014
11775	7601	815	96720273.4449877
11869	7676	873	93422925.4072367
11825	7635	854	92492059.1210925
11727	7627	811	90847194.4189926
11955	7764	797	83590082.0695556
12401	8074	882	94142375.5910195
12032	7747	904	90108523.1749267
11627	7625	824	82756005.095042
11961	7768	939	88810443.708901
11962	7770	817	91691844.117807
11971	7672	915	90915154.5769388
