"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11039	576	33	10783037.0995038
11813	575	32	11719670.1500232
11448	649	38	9056141.87582678
12220	603	32	11021737.7524239
11489	608	35	9666770.62529355
11830	653	38	10387902.9544174
11989	597	35	9888780.2626517
12035	617	30	9753055.95801443
12052	648	37	10650545.2899983
11946	615	36	10991525.9166475
11531	621	31	12086589.8648368
11724	604	33	9211244.41003838
11964	639	34	10055966.9678808
11578	628	36	11046181.2245439
12112	640	31	8386394.72064521
11403	588	28	9802793.55843868
11874	650	35	10241349.9140667
12184	615	34	9390363.351199
11927	617	31	9429160.8048848
11525	646	34	10708426.9053185
11697	615	31	10095497.5332184
11637	634	34	10729042.6767691
11471	589	33	11044040.8280973
12314	658	34	10328603.6662511
12108	652	34	8874074.34680405
12288	637	37	10223891.9616339
11960	650	30	10370913.6883824
11862	640	33	10640284.5782708
11367	607	34	12154833.6974503
11846	620	35	9841476.48431199
11611	591	34	9651629.52372694
11927	630	34	11159405.6034345
11793	600	36	10378965.7970993
11925	614	35	9750226.06534012
11681	636	32	9992749.51663734
12005	644	32	11666205.554608
11983	619	34	10130142.0157746
11684	587	34	10512941.9771971
12176	625	33	9631506.51134882
11922	607	32	9951341.04782679
11969	598	33	11207931.6393107
11937	606	34	7999263.78793476
11843	627	35	9144949.79642978
12087	615	37	12343654.0257754
11890	641	28	10451985.8870054
12036	641	35	9097581.21155199
11227	600	33	10007097.6291009
11787	631	31	10085614.6979002
11776	634	38	8548258.50997493
12105	627	30	9970999.86822748
12209	626	32	8911220.74296679
11819	610	33	11462410.9393964
12246	644	31	8989522.87539747
12153	619	33	9107172.54167035
11453	646	33	11442415.7983273
12192	612	32	10067603.7000377
11903	619	33	10070026.2396563
11330	601	33	10406287.5386953
11612	629	36	11903991.0910387
12138	637	38	10145024.4780137
11990	628	36	10125317.2730716
11928	654	37	9667924.69402185
11487	648	31	11598683.6126757
12019	644	31	9696943.01082487
11446	558	29	10648700.053027
11850	606	34	10283486.6693728
12329	649	33	9096662.53917602
11505	587	29	7818925.04934684
11745	593	35	11127588.5344545
11984	598	32	9414455.45344037
11912	631	33	10041420.7589405
12177	672	36	9539110.57877575
11828	622	35	8967117.6823769
12179	671	35	9270909.13897869
12170	668	33	9999120.95212105
11709	617	33	9181057.69637017
11919	637	37	10155989.4488698
11785	614	33	9796975.82106276
12014	622	31	10396692.4229738
11782	582	34	9893920.10514096
11888	643	38	9944220.70139795
11357	611	34	10702139.0482082
11622	602	34	11333230.0806141
11667	637	33	10707999.3933449
11533	636	33	12358601.3086056
11842	616	36	9597809.08763637
11981	597	32	11139212.3645434
11697	622	37	12690914.3385819
11681	615	29	10264091.7475961
12072	630	32	10453513.0487506
11589	642	34	9771628.63177708
11804	647	32	10885040.6362051
11569	619	35	9016616.14694546
12077	642	35	9941557.3008837
12333	618	31	8385417.50358295
11573	593	30	9315301.52642995
12216	658	31	9041085.45799465
12740	649	35	9559183.21800548
12525	649	34	8676822.33365872
11976	634	34	10911171.0451269
11840	612	33	9209771.91026464
11981	624	32	11252907.4884433
11764	598	33	11674118.6988405
11621	615	36	9959093.9518892
11185	616	34	9533569.35185301
11621	621	36	9574531.99786272
11516	611	29	9435393.80739866
12230	621	35	9727531.77215815
11504	594	32	11974621.7915778
12183	630	30	9080872.5360668
11526	601	28	10460106.5399656
11715	672	31	10925619.3645953
11964	642	34	9213779.85868833
